NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;
8;1;2;1:33.419;0;;19.787;0;38.993;0;34.639;0;189.2;37:24.513;14:37;0:19.787;0:38.993;0:34.639;295.9;Stephane Sarrazin;
8;1;3;1:33.432;0;;19.455;0;39.047;0;34.930;0;189.1;38:57.945;14:38;0:19.455;0:39.047;0:34.930;299.2;Stephane Sarrazin;
8;1;4;1:32.732;2;;19.468;0;38.677;0;34.587;2;190.6;40:30.677;14:40;0:19.468;0:38.677;0:34.587;298.3;Stephane Sarrazin;
8;1;5;1:32.762;0;;19.569;0;38.389;2;34.804;0;190.5;42:03.439;14:42;0:19.569;0:38.389;0:34.804;298.3;Stephane Sarrazin;
8;1;6;1:32.909;0;;19.391;2;38.597;0;34.921;0;190.2;43:36.348;14:43;0:19.391;0:38.597;0:34.921;297.5;Stephane Sarrazin;
8;1;7;1:33.043;0;;19.567;0;38.665;0;34.811;0;189.9;45:09.391;14:45;0:19.567;0:38.665;0:34.811;299.2;Stephane Sarrazin;
8;1;8;1:32.940;0;;19.434;0;38.450;0;35.056;0;190.1;46:42.331;14:46;0:19.434;0:38.450;0:35.056;297.5;Stephane Sarrazin;
82;1;1;9:04.665;0;;7:24.728;0;52.766;0;47.171;0;32.4;9:04.665;14:09;7:24.728;0:52.766;0:47.171;156.1;Adam Christodoulou;
82;1;2;2:11.432;0;;22.659;0;57.292;0;51.481;0;134.5;11:16.097;14:11;0:22.659;0:57.292;0:51.481;259.0;Adam Christodoulou;
82;1;3;1:47.667;0;;22.925;0;45.167;0;39.575;0;164.1;13:03.764;14:13;0:22.925;0:45.167;0:39.575;257.8;Adam Christodoulou;
82;1;4;1:52.972;0;;25.015;0;48.238;0;39.719;0;156.4;14:56.736;14:14;0:25.015;0:48.238;0:39.719;224.1;Adam Christodoulou;
82;1;5;1:47.065;0;;22.481;0;45.246;0;39.338;0;165.1;16:43.801;14:16;0:22.481;0:45.246;0:39.338;260.9;Adam Christodoulou;
82;1;6;1:46.798;2;;22.463;2;45.162;2;39.173;2;165.5;18:30.599;14:18;0:22.463;0:45.162;0:39.173;259.6;Adam Christodoulou;
88;1;1;2:32.038;0;;1:00.487;0;49.777;0;41.774;0;116.2;2:32.038;14:02;1:00.487;0:49.777;0:41.774;168.0;Horst Felbermayr Jr.;
