NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
61;3;1;5:37.228;0;;59.354;0;1:50.184;0;2:47.690;0;143.9;5:37.228;12:05:37.228;0:59.354;1:50.184;2:47.690;219.0;Maxime MARTIN;0:00:18.084;LMGT3;;Iron Lynx;Mercedes;FCY;59.354;110.184;167.690;
61;3;2;4:22.091;0;;57.987;0;1:33.254;0;1:50.850;0;187.2;9:59.319;12:09:59.319;0:57.987;1:33.254;1:50.850;281.7;Maxime MARTIN;;LMGT3;;Iron Lynx;Mercedes;GF;57.987;93.254;110.850;
61;3;3;3:59.792;0;;37.692;0;1:32.124;2;1:49.976;0;204.6;13:59.111;12:13:59.111;0:37.692;1:32.124;1:49.976;286.2;Maxime MARTIN;;LMGT3;;Iron Lynx;Mercedes;GF;37.692;92.124;109.976;
61;3;4;3:58.992;2;;37.322;2;1:32.463;0;1:49.207;2;205.3;17:58.103;12:17:58.103;0:37.322;1:32.463;1:49.207;283.9;Maxime MARTIN;;LMGT3;;Iron Lynx;Mercedes;FF;37.322;92.463;109.207;
63;3;1;5:14.035;0;;1:01.089;0;1:39.075;0;2:33.871;0;154.6;5:14.035;12:05:14.035;1:01.089;1:39.075;2:33.871;243.6;Luca STOLZ;0:00:21.988;LMGT3;;Iron Lynx;Mercedes;FCY;61.089;99.075;153.871;
63;3;2;4:30.042;0;;1:06.036;0;1:33.090;0;1:50.916;0;181.7;9:44.077;12:09:44.077;1:06.036;1:33.090;1:50.916;275.3;Luca STOLZ;;LMGT3;;Iron Lynx;Mercedes;GF;66.036;93.090;110.916;
63;3;3;3:59.138;2;;37.739;2;1:32.470;0;1:48.929;2;205.1;13:43.215;12:13:43.215;0:37.739;1:32.470;1:48.929;284.7;Luca STOLZ;;LMGT3;;Iron Lynx;Mercedes;GF;37.739;92.470;108.929;
63;3;4;4:00.492;0;;37.811;0;1:31.849;2;1:50.832;0;204.0;17:43.707;12:17:43.707;0:37.811;1:31.849;1:50.832;287.7;Luca STOLZ;;LMGT3;;Iron Lynx;Mercedes;FF;37.811;91.849;110.832;
7;1;1;3:58.402;0;;51.307;0;1:25.879;0;1:41.216;0;203.6;3:58.402;12:03:58.402;0:51.307;1:25.879;1:41.216;286.2;Mike CONWAY;0:00:11.374;HYPERCAR;H;Toyota Gazoo Racing;Toyota;GF;51.307;85.879;101.216;
7;1;2;4:52.534;0;;1:19.084;0;1:56.886;0;1:36.564;0;167.7;8:50.936;12:08:50.936;1:19.084;1:56.886;1:36.564;295.6;Mike CONWAY;;HYPERCAR;H;Toyota Gazoo Racing;Toyota;GF;79.084;116.886;96.564;
7;1;3;3:29.294;2;;33.072;2;1:20.394;2;1:35.828;2;234.4;12:20.230;12:12:20.230;0:33.072;1:20.394;1:35.828;330.8;Mike CONWAY;;HYPERCAR;H;Toyota Gazoo Racing;Toyota;GF;33.072;80.394;95.828;
7;1;4;3:38.069;0;B;33.611;0;1:20.901;0;1:43.557;0;224.9;15:58.299;12:15:58.299;0:33.611;1:20.901;1:43.557;329.8;Mike CONWAY;;HYPERCAR;H;Toyota Gazoo Racing;Toyota;FF;33.611;80.901;103.557;
77;3;1;7:06.724;0;B;2:07.127;0;1:39.920;0;3:19.677;0;113.7;7:06.724;12:07:06.724;2:07.127;1:39.920;3:19.677;225.4;Benjamin BARKER;0:01:21.454;LMGT3;;Proton Competition;Ford;GF;127.127;99.920;199.677;
77;3;2;6:19.649;0;;2:54.179;0;1:34.382;0;1:51.088;0;129.2;13:26.373;12:13:26.373;2:54.179;1:34.382;1:51.088;282.5;Benjamin BARKER;0:02:24.899;LMGT3;;Proton Competition;Ford;GF;174.179;94.382;111.088;
77;3;3;4:00.523;2;;37.869;2;1:32.815;2;1:49.839;2;203.9;17:26.896;12:17:26.896;0:37.869;1:32.815;1:49.839;275.3;Benjamin BARKER;;LMGT3;;Proton Competition;Ford;FF;37.869;92.815;109.839;
78;2;1;7:39.070;0;;2:50.930;0;2:24.446;0;2:23.694;0;105.7;7:39.070;12:07:39.070;2:50.930;2:24.446;2:23.694;275.3;Jack HAWKSWORTH;0:02:09.510;LMGT3;;Akkodis ASP Team;Lexus;GF;170.930;144.446;143.694;
78;2;2;3:58.260;2;;37.465;0;1:32.295;2;1:48.500;0;205.9;11:37.330;12:11:37.330;0:37.465;1:32.295;1:48.500;283.9;Jack HAWKSWORTH;;LMGT3;;Akkodis ASP Team;Lexus;GF;37.465;92.295;108.500;
78;2;3;3:57.049;0;;37.198;2;1:31.513;0;1:48.338;2;206.9;15:34.379;12:15:34.379;0:37.198;1:31.513;1:48.338;286.2;Jack HAWKSWORTH;;LMGT3;;Akkodis ASP Team;Lexus;FF;37.198;91.513;108.338;
8;1;1;4:00.942;0;;53.678;0;1:24.414;2;1:42.850;0;201.4;4:00.942;12:04:00.942;0:53.678;1:24.414;1:42.850;297.2;Sébastien BUEMI;0:00:13.735;HYPERCAR;H;Toyota Gazoo Racing;Toyota;FCY;53.678;84.414;102.850;
8;1;2;4:54.355;2;;1:21.185;0;1:53.136;0;1:40.034;2;166.6;8:55.297;12:08:55.297;1:21.185;1:53.136;1:40.034;306.5;Sébastien BUEMI;;HYPERCAR;H;Toyota Gazoo Racing;Toyota;GF;81.185;113.136;100.034;
8;1;3;3:35.648;0;B;32.878;2;1:20.245;0;1:42.525;0;227.5;12:30.945;12:12:30.945;0:32.878;1:20.245;1:42.525;329.8;Sébastien BUEMI;;HYPERCAR;H;Toyota Gazoo Racing;Toyota;GF;32.878;80.245;102.525;
81;2;1;6:08.143;0;B;1:09.943;0;1:44.208;1;3:13.992;0;131.8;6:08.143;12:06:08.143;1:09.943;1:44.208;3:13.992;235.7;Rui ANDRADE;0:00:25.079;LMGT3;;TF Sport;Corvette;GF;69.943;104.208;193.992;
